record,operation,framing,approach,median_ns,ns_per_element,ns_per_byte
rich,decode,streamed,prost,7545.4,117.9,0.9664
rich,decode,streamed,quick_protobuf,6032.2,94.25,0.8196
rich,decode,streamed,rust_protobuf,8645.9,135.09,1.1073
rich,decode,streamed,micropb,6576.9,102.76,0.8936
rich,encode,value,tinyklv,69.4,69.42,0.6369
rich,encode,value,manual,118.7,118.74,1.0893
rich,encode,value,serde_klv,333.5,333.54,2.6899
rich,encode,value,tlv_parser,790.6,790.62,7.1227
rich,encode,value,prost,61.2,61.22,0.583
rich,encode,value,quick_protobuf,108.6,108.55,1.1077
rich,encode,value,rust_protobuf,113.6,113.56,1.0815
rich,encode,value,micropb,116.3,116.32,1.1869
rich,encode,frame,tinyklv,77.0,77.01,0.6876
rich,encode,frame,manual,112.2,112.17,1.0015
rich,encode,frame,serde_klv,338.4,338.42,2.6647
rich,encode,frame,tlv_parser,794.3,794.26,6.9672
rich,encode,frame,prost,66.6,66.59,0.6166
rich,encode,frame,quick_protobuf,109.8,109.75,1.0866
rich,encode,frame,rust_protobuf,120.2,120.16,1.1126
rich,encode,frame,micropb,118.0,118.03,1.1686
